filename,Date (Farsi),Date (Gregorian),Date (Normalized),Place (English),Place (Farsi),City (English-LCSH),City (Farsi),Country (English),Country (Farsi),Description (English),Description (Farsi),Keywords/Chants/Slogans (English),Keywords/Chants/Slogans (Farsi),Names (English),Names (Farsi),Title (English),Title (Farsi),Physical Type,"Lat, Lon",Genre (English),Genre (Farsi)
video4_001.mp4,۱۳۸۹/۰۴/۲۶,07/17/2010,2010-07-17,,,Tehran,تهران,Iran,ایران,"The video displays Parvin Fahimi, mother of Sohrab Aarabi, at the city council of Tehran speaking out on her son’s murder in the aftermaths of the 2009 election.",این ویدیو پروین فهیمی، مادر سهراب اعرابی را در شورای شهر تهران در حال داد خواهی برای قتل پسرش در پسایند انتخابات ۸۸ نشان میدهد.,City Council / Police Brutality ,شورای شهر / درندگی پلیس,Parvin Fahimi / Sohrab Aarabi,پروین فهیمی / سهراب اعرابی,Sohrab Aarabi's Mother at the City Council,مادر سهراب اعرابی در شورای شهر تهران,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو
video4_002.mp4,۱۳۸۹/۰۴/۲۶,07/17/2010,2010-07-17,,,Tehran,تهران,Iran,ایران,"The video displays Parvin Fahimi, mother of Sohrab Aarabi, speaking out on her son’s murder in the aftermaths of the 2009 election.",این ویدیو پروین فهیمی، مادر سهراب اعرابی را در حال داد خواهی برای قتل پسرش در پسایند انتخابات ۸۸ نشان میدهد.,Police Brutality ,درندگی پلیس,Parvin Fahimi / Sohrab Aarabi,پروین فهیمی / سهراب اعرابی,The Mourning Mother of Sohrab Aarabi,مادر سوگوار سهراب اعرابی,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو
video4_003.mp4,۱۳۸۹/۰۴/۲۶,07/17/2010,2010-07-17,,,Tehran,تهران,Iran,ایران,The video displays the funeral for Amir Javadifar who was killed in the aftermaths of the 2009 election.,این ویدیو مراسم چهلم امیر جوادیفر را که در پسایند انتخابات ۸۸ به قتل رسید نشان میدهد.,Funeral,ترحیم,Amir Javadifar,امیر جوادیفر,The Funeral of Amir Javadifar,مراسم چهلم امیر جوادیفر,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو
video4_004.mp4,۱۳۸۹/۰۴/۲۶,07/17/2010,2010-07-17,,,Tehran,تهران,Iran,ایران,The video displays footages of police brutality in the aftermaths of the 2009 election.,این عکس صحنه های خشونت پلیس در پسایند های انتخابات ۸۸ را نشان میدهد.,Police Brutality ,درندگی پلیس,,,Police Brutality ,درندگی پلیس,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_005.mp4,۱۳۸۹/۰۴/۲۶,07/17/2010,2010-07-17,,,Tehran,تهران,Iran,ایران,This video displays the final moments of protestor Ali Hassanpour.,این ویدیو لحظات آخر تظاهرکننده علی حسنپور را نشان میدهد.,Police Brutality ,درندگی پلیس,Ali Hassanpour,علی حسنپور ,Dying Protestor,تظاهرکننده در حال جان دادن,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_008.mp4,۱۳۸۹/۰۴/۲۵,07/16/2010,2010-07-16,,,Tehran,تهران,Iran,ایران,"This video consist of footages created in tribute to Mohsen Ruholamini, a protestor who died under torture at Kahrizak Detention Center at the age of 25.",این ویدیو در یادبود محسن روح الامینی، تظاهرکننده ای که در بازداشتگاه کهریزک تحت شکنجه در سن ۲۵ سالگی جان باخت، تهیه شده است.,Tribute,یادبود,Mohsen Ruholamini,محسن روح الامینی,In the Memory of Mohsen Ruholamini,به یاد محسن روح الامینی,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_009.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"This video consist of footages created in tribute to protestor Naeem Abadi, who died in the aftermaths of the 2009 election. ",این ویدیو در یادبود نعیم آبادی، تظاهرکننده ای که در پسایند انتخابات ۸۸ کشته شد، تهیه شده است. ,Tribute,یادبود,Naeem Abadi,نعیم آبادی,In the Memory of Naeem Abadi,به یاد نعیم آبادی,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_010.mp4,۱۳۸۸/۰۳/۲۵,06/15/2009,2009-06-15,Behesht-e Zahra,بهشت زهرا,Tehran,تهران,Iran,ایران,This video displays a memorial ceremony for protestor Ali Hassanpour at his grave on his death anniversary.,این ویدیو مراسم یادبودی را برای تظاهرکننده علی حسنپور بر سر قبر وی در سالروز مرگش نشان میدهد.,Funeral,ترحیم,Ali Hassanpour,علی حسنپور ,Memorial Ceremony for Ali Hassanpour,مراسم سالروز علی حسنپور,Video,"35.534737, 51.362747",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_011.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"The video displays the family of Shahram Farajzadeh, who died in the aftermaths of the 2009 election, celebrating his birthday.",این ویدیو مراسم یادبود خانواده شهرام فرجزاده تظاهرکننده ای را که در پسایند انتخابات ۸۸ به قتل رسید را در روز تولدش نشان میدهد.,Funeral,ترحیم,Shahram Farajzadeh,شهرام فرجزاده,In the Memory of Shahram Farajzadeh,به یاد شهرام فرجزاده,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_012.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"The video displays the family of Shahram Farajzadeh, who died in the aftermaths of the 2009 election, celebrating his birthday.",این ویدیو مراسم یادبود خانواده شهرام فرجزاده تظاهرکننده ای را که در پسایند انتخابات ۸۸ به قتل رسید را در روز تولدش نشان میدهد.,Funeral,ترحیم,Shahram Farajzadeh,شهرام فرجزاده,In the Memory of Shahram Farajzadeh,به یاد شهرام فرجزاده,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_013.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"This video consist of footages created in tribute to protestor Mostafa Ghanian, who died in the aftermaths of the 2009 election. ",این ویدیو در یادبود مصطفی غنیان، تظاهرکننده ای که در پسایند انتخابات ۸۸ کشته شد، تهیه شده است. ,Tribute,یادبود,Mostafa Ghanian ,مصطفی غنیان,In the Memory of Mostafa Ghanian,به یاد مصطفی غنیان,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_014.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"This video consist of footages created in tribute to protestor Mostafa Ghanian, who died in the aftermaths of the 2009 election. ",این ویدیو در یادبود مصطفی غنیان، تظاهرکننده ای که در پسایند انتخابات ۸۸ کشته شد، تهیه شده است. ,Tribute,یادبود,Mostafa Ghanian ,مصطفی غنیان,In the Memory of Mostafa Ghanian,به یاد مصطفی غنیان,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_015.mp4,۱۳۸۸/۰۴/۱۲,07/03/2009,2009-07-03,Behesht-e Zahra,بهشت زهرا,Tehran,تهران,Iran,ایران,The video shows the burial of Sohrab Aarabi who was killed at a protest in the aftermaths of the 2009 election.,این عکس مراسم خاکسپاری سهراب اعرابی را که در تظاهرات در پسایند های انتخابات ۸۸ کشته شد را نشان میدهد.,Funeral / Police Brutality,ترحیم / درندگی پلیس,Sohrab Aarabi,سهراب اعرابی ,The Burial of Sohrab Aarabi,مراسم خاکسپاری سهراب اعرابی,Video,"35.534737, 51.362747",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_016.mp4,۱۳۸۸/۰۴/۱۲,07/03/2009,2009-07-03,Behesht-e Zahra,بهشت زهرا,Tehran,تهران,Iran,ایران,The video shows the burial of Sohrab Aarabi who was killed at a protest in the aftermaths of the 2009 election.,این عکس مراسم خاکسپاری سهراب اعرابی را که در تظاهرات در پسایند های انتخابات ۸۸ کشته شد را نشان میدهد.,Funeral / Police Brutality,ترحیم / درندگی پلیس,Sohrab Aarabi,سهراب اعرابی ,The Burial of Sohrab Aarabi,مراسم خاکسپاری سهراب اعرابی,Video,"35.534737, 51.362747",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_017.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"The video displays personal footage of Kianoosh Asa, who was killed at a protest in the aftermaths of the 2009 election.",این ویدیو تصاویری شخصی از کیانوش آسا را که در تظاهرات در پسایند انتخابات ۸۸ کشته شد نشان میدهد.,Tribute,یادبود,Kianoosh Asa,کیانوش آسا,Footage of Kianoosh Asa,تصاویری از کیانوش آسا,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 
video4_018.mp4,۱۳۸۸,2009,2009,,,Tehran,تهران,Iran,ایران,"The video displays personal footage of Kianoosh Asa, who was killed at a protest in the aftermaths of the 2009 election.",این ویدیو تصاویری شخصی از کیانوش آسا را که در تظاهرات در پسایند انتخابات ۸۸ کشته شد نشان میدهد.,Tribute,یادبود,Kianoosh Asa,کیانوش آسا,Footage of Kianoosh Asa,تصاویری از کیانوش آسا,Video,"35.689198, 51.388974",digital moving image formats / video recordings,در قالب ویدیو دیجیتالی / ویدیو 